Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating,Avg_Sales_per_Outlet,Years_Since_Establishment,Visibility_per_Weight,Sales_per_Outlet_Type,Visibility_x_ItemType,Weight_x_ItemType,Rating_x_Visibility
Low Fat,FDX21,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.084554569,,109.8912,5.0,139.80179101604278,7,,139.80179101604278,0.011904902358324533,,0.422772845
Low Fat,NCU41,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.052044976,18.85,192.1846,5.0,143.1224806451613,8,0.0027610066843501324,141.21389506903353,0.0031753358582658686,1.1500645312683329,0.26022488
Low Fat,FDL20,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.128937661,17.1,112.3886,5.0,141.67863836206897,3,0.007540214093567251,141.67863836206897,0.01863794419242051,2.4718057022175293,0.6446883050000001
Low Fat,NCR54,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.090486828,16.35,195.211,5.0,141.4259824034335,11,0.005534362568807339,141.21389506903353,0.009661271087645196,1.7456881379795848,0.45243414000000004
Low Fat,FDH19,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.03292824,,173.1738,5.0,139.80179101604278,7,,139.80179101604278,0.0016419690249912001,,0.1646412
Regular,FDB57,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.018801549,20.25,222.1772,5.0,143.1224806451613,8,0.0009284715555555556,141.21389506903353,0.002717764680042239,2.9271383315733894,0.094007745
Low Fat,FDO23,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.147023834,17.85,93.7436,5.0,141.67863836206897,3,0.008236629355742296,141.67863836206897,0.00432981137322539,0.5256775783174938,0.7351191699999999
Low Fat,NCB07,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.077628053,19.2,197.611,5.0,140.29769870967743,13,0.004043127760416667,141.21389506903353,0.0082883407520826,2.0499824005631817,0.388140265
Low Fat,FDJ56,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.182514881,,98.77,5.0,139.80179101604278,7,,139.80179101604278,0.026382533543587938,,0.912574405
Low Fat,DRN47,Hard Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.016895293,12.1,178.566,5.0,141.67863836206897,3,0.0013963052066115701,141.67863836206897,0.000424215968790332,0.3038132113105714,0.084476465
Regular,FDZ07,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.0,,60.2194,5.0,139.80179101604278,7,,139.80179101604278,0.0,,0.0
Low Fat,NCK31,Others,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.026916794,,50.9666,5.0,139.80179101604278,7,,139.80179101604278,0.0005337250012906255,,0.13458397
Low Fat,FDJ41,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.022976497,6.85,261.6594,5.0,141.67863836206897,3,0.0033542331386861315,141.67863836206897,0.0023076242440455237,0.6879737181743517,0.11488248499999999
Low Fat,DRI51,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.042413704,17.25,173.1764,5.0,141.67863836206897,3,0.0024587654492753625,141.67863836206897,0.003393892541124018,1.3803238296374516,0.21206852
Regular,FDC40,Dairy,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.065431917,16.0,76.1986,5.0,139.42112354211662,5,0.0040894948125,141.21389506903353,0.0052357816958817326,1.2803003637216943,0.32715958500000003
Low Fat,FDB53,Frozen Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.140241213,13.35,150.2392,5.0,139.42112354211662,5,0.0105049597752809,141.21389506903353,0.014085002737064414,1.3407954945441745,0.701206065
Low Fat,FDA16,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.033935576,6.695,221.9456,5.0,143.1224806451613,8,0.005068794025392084,141.21389506903353,0.0034082896933004814,0.6724064296609176,0.16967788
Regular,FDO19,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.016516275,,47.4034,5.0,139.80179101604278,7,,139.80179101604278,0.002387428229496656,,0.082581375
Low Fat,FDO04,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.026537206,16.6,57.2614,5.0,142.05738688172042,9,0.0015986268674698795,141.21389506903353,0.002665240917047988,1.6672063827290862,0.13268603
Regular,FDL25,Breakfast,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.131128467,6.92,93.1804,5.0,140.29769870967743,13,0.018949200433526013,141.21389506903353,0.0016923772580077438,0.08931127537252141,0.655642335
Low Fat,NCJ30,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.080640478,5.82,167.779,5.0,142.05738688172042,9,0.013855752233676976,141.21389506903353,0.008609977118385544,0.6214009151707145,0.40320239
Low Fat,NCQ41,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.01946418,14.8,196.3794,5.0,141.4259824034335,11,0.0013151472972972973,141.21389506903353,0.0011875365012319606,0.9029684383433063,0.0973209
Low Fat,DRJ35,Hard Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.046545786,10.1,59.9878,5.0,141.4259824034335,11,0.004608493663366337,141.21389506903353,0.001168696257655755,0.2535961515898158,0.23272893
Low Fat,NCE31,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.184689756,7.67,35.4216,5.0,141.4259824034335,11,0.024079498826597132,141.21389506903353,0.019719309862724393,0.8189252610583128,0.9234487800000001
Low Fat,FDY09,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.025342692,15.6,174.3054,5.0,139.42112354211662,5,0.0016245315384615384,141.21389506903353,0.0035681368532206967,2.1964097148891235,0.12671346
Low Fat,FDZ04,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.037923509,9.31,61.651,5.0,141.4259824034335,11,0.004073416648764769,141.21389506903353,0.003808814232547225,0.9350416520004694,0.189617545
Low Fat,FDY07,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.121848436,11.8,46.8402,5.0,140.95024779332616,10,0.010326138644067796,141.21389506903353,0.017613196427548987,1.7056904845711605,0.6092421800000001
Regular,FDO45,Snack Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.038029746,13.15,88.6856,5.0,140.95024779332616,10,0.002891995893536122,141.21389506903353,0.005354416895459345,1.851460753255896,0.19014873000000002
Low Fat,FDB09,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.057485328,16.25,126.2046,5.0,140.29769870967743,13,0.0035375586461538462,141.21389506903353,0.008309506523055262,2.3489381673119794,0.28742664
Regular,FDP51,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.085274988,13.85,119.6124,5.0,142.05738688172042,9,0.006157038844765343,141.21389506903353,0.004252243329813446,0.6906312331338731,0.42637494
Regular,FDT50,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.108148913,6.75,95.6752,5.0,141.4259824034335,11,0.016022061185185184,141.21389506903353,0.008653943290625367,0.5401267159450898,0.540744565
Regular,FDQ08,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.018838681,,62.9536,5.0,139.80179101604278,7,,139.80179101604278,0.0027231321121670773,,0.094193405
Low Fat,DRL11,Hard Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.048115543,10.5,159.0946,5.0,140.95024779332616,10,0.004582432666666666,141.21389506903353,0.001208110548163792,0.2636395635339669,0.24057771499999997
Low Fat,FDT34,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.174621343,9.3,104.2964,5.0,140.29769870967743,13,0.018776488494623655,141.21389506903353,0.024585898345652942,1.3093980992608238,0.873106715
Regular,FDP01,Breakfast,2011,OUT010,Tier 3,Medium,Grocery Store,0.105994654,20.75,150.5682,5.0,140.77759747747749,14,0.005108176096385542,140.29468975069253,0.0013679938918221284,0.2678047635808988,0.5299732699999999
Low Fat,NCJ31,Others,2014,OUT013,Tier 3,High,Supermarket Type1,0.182501773,19.2,239.2196,5.0,141.4259824034335,11,0.009505300677083333,141.21389506903353,0.0036187726900152534,0.3807110172474481,0.9125088650000001
Low Fat,NCL30,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.048931174,18.1,127.3336,5.0,143.1224806451613,8,0.0027033797790055247,141.21389506903353,0.005224377371817435,1.932535492197583,0.24465587
Low Fat,FDF04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.013658248,17.5,256.3304,5.0,140.29769870967743,13,0.0007804713142857142,141.21389506903353,0.0013717541109937814,1.7575970902264462,0.06829124
Low Fat,NCZ42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.011305479,10.5,235.5248,5.0,140.29769870967743,13,0.0010767122857142856,141.21389506903353,0.0012070850510383668,1.1210841253079902,0.056527395
Low Fat,FDG24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.014653896,7.975,82.425,5.0,140.29769870967743,13,0.0018374791222570534,141.21389506903353,0.0011141293685322069,0.6063357972544878,0.07326948
Low Fat,FDV49,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.025867353,10.0,264.6226,5.0,140.29769870967743,13,0.0025867353,141.21389506903353,0.0019697186550510382,0.7614689663264108,0.129336765
Low Fat,FDX01,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.024201905,10.1,114.915,5.0,140.29769870967743,13,0.002396228217821782,141.21389506903353,0.0018428999583479993,0.7690836559896749,0.12100952499999999
Low Fat,DRF27,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.028461453,8.93,152.234,5.0,140.29769870967743,13,0.003187172788353864,141.21389506903353,0.0022774505392467444,0.7145676405021706,0.14230726500000002
Low Fat,FDF16,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.086266286,7.3,147.2076,5.0,140.29769870967743,13,0.011817299452054794,141.21389506903353,0.008664078471899565,0.7331690719230318,0.43133142999999996
Low Fat,FDU04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.005557062,7.93,122.1414,5.0,140.29769870967743,13,0.0007007644388398487,141.21389506903353,0.0005581186286518831,0.7964425671711838,0.02778531
Low Fat,FDP04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.013834247,15.35,62.7168,5.0,140.29769870967743,13,0.0009012538762214983,141.21389506903353,0.001389430415581368,1.541663733427197,0.069171235
Low Fat,FDD05,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.016637301,19.35,120.9098,5.0,140.29769870967743,13,0.0008598088372093023,141.21389506903353,0.0016709526758183738,1.943400211193242,0.083186505
Low Fat,FDV07,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.031331581,9.5,111.1228,5.0,140.29769870967743,13,0.0032980611578947365,141.21389506903353,0.00452898132019242,1.3732253901208495,0.156657905
Low Fat,FDT20,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.041459804,10.5,39.2164,5.0,140.29769870967743,13,0.0039485527619047625,141.21389506903353,0.00599301637076147,1.517775431186202,0.20729902
Low Fat,FDC44,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0,15.6,111.9518,5.0,140.29769870967743,13,0.0,141.21389506903353,0.0,2.2549806406195003,0.0
Low Fat,DRM59,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.003597678,5.88,153.8998,5.0,140.29769870967743,13,0.00061185,141.21389506903353,9.033240549102429e-05,0.14763815557902146,0.01798839
Low Fat,DRG23,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.086916126,8.88,153.3682,5.0,140.29769870967743,13,0.009787852027027026,141.21389506903353,0.0021823361450193594,0.2229637451601549,0.43458062999999997
Low Fat,NCJ29,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.035247642,10.6,84.7224,5.0,140.29769870967743,13,0.0033252492452830193,141.21389506903353,0.002150507314325942,0.6467206382729086,0.17623821
Low Fat,NCM42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.028365524,6.13,110.0912,5.0,140.29769870967743,13,0.00462732854812398,141.21389506903353,0.003028584634518362,0.6544995893464742,0.14182762
Low Fat,NCY42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.015186146,6.38,144.947,5.0,140.29769870967743,13,0.0023802736677115987,141.21389506903353,0.0016214235433532791,0.681192068520474,0.07593073
Low Fat,NCX54,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.048134591,9.195,107.7622,5.0,140.29769870967743,13,0.005234865796628602,141.21389506903353,0.005139326271265986,0.9817493840197113,0.240672955
Low Fat,NCI06,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.047791878,11.3,180.766,5.0,140.29769870967743,13,0.004229369734513274,141.21389506903353,0.00510273483280535,1.2065000586647894,0.23895939000000002
Low Fat,NCQ02,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.007468056,12.6,186.9556,5.0,140.29769870967743,13,0.0005927028571428572,141.21389506903353,0.0007973637170010559,1.345300950369588,0.037340279999999997
Low Fat,NCR38,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.113694957,17.25,253.4724,5.0,140.29769870967743,13,0.006591012,141.21389506903353,0.012139201087645195,1.8417810630059837,0.568474785
Low Fat,NCM30,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.067400032,19.1,41.9796,5.0,140.29769870967743,13,0.0035287974869109943,141.21389506903353,0.007196295801947671,2.0393054088935822,0.33700016
Low Fat,FDK43,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.026882496,9.8,126.302,5.0,140.29769870967743,13,0.0027431118367346936,141.21389506903353,0.001340497571277719,0.4886776956470727,0.13441248
Low Fat,FDK21,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.010027885,7.905,249.6408,5.0,140.29769870967743,13,0.0012685496521189121,141.21389506903353,0.0014118810278071102,1.1129883843717001,0.050139425
Low Fat,FDR45,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.028988288,10.8,239.2222,5.0,140.29769870967743,13,0.0026841007407407405,141.21389506903353,0.004081420344948961,1.5205913410770857,0.14494144
Low Fat,FDV09,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.020600553,12.1,147.5734,5.0,140.29769870967743,13,0.0017025250413223141,141.21389506903353,0.0029004650475184797,1.7036254839845124,0.103002765
Regular,FDU12,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.075868843,15.5,261.7568,5.0,140.29769870967743,13,0.00489476406451613,141.21389506903353,0.005768275286166843,1.1784582893347413,0.37934421500000004
Regular,FDZ47,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.079419755,20.7,99.8042,5.0,140.29769870967743,13,0.0038367031400966182,141.21389506903353,0.006038249588173178,1.5738120380147835,0.39709877499999996
Regular,FDO11,Breads,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.030311951,8.0,247.4092,5.0,140.29769870967743,13,0.003788993875,141.21389506903353,0.0008926785992021589,0.2355977942039188,0.151559755
Regular,FDU49,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.030742083,19.5,85.554,5.0,140.29769870967743,13,0.001576517076923077,141.21389506903353,0.002340914216473073,1.484864484336501,0.153710415
Regular,FDA02,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.02976887,14.0,145.4786,5.0,140.29769870967743,13,0.002126347857142857,141.21389506903353,0.0023820684430364896,1.1202628182564824,0.14884435
Regular,FDV26,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0,20.25,194.2794,5.0,140.29769870967743,13,0.0,141.21389506903353,0.0,1.6203801478352693,0.0
Regular,FDA04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.066833743,11.3,257.2962,5.0,140.29769870967743,13,0.005914490530973451,141.21389506903353,0.006712388127185264,1.1349055496890768,0.334168715
Regular,FDO52,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.077284566,11.6,172.4106,5.0,140.29769870967743,13,0.0066624625862068965,141.21389506903353,0.007762007332629356,1.1650357855215299,0.38642283
Regular,FDA40,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.09942555,16.0,87.0856,5.0,140.29769870967743,13,0.006214096875,141.21389506903353,0.009985717564237944,1.6069459110641793,0.49712775
Regular,FDS27,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.012477512,10.195,197.111,5.0,140.29769870967743,13,0.0012238854340362922,141.21389506903353,0.0006221920215886425,0.5083743986859087,0.062387559999999995
Regular,FDU15,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.026643448,13.65,37.9532,5.0,140.29769870967743,13,0.0019519009523809524,141.21389506903353,0.0013285774257890415,0.6806582189369941,0.13321724000000001
Regular,FDV33,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.027386122,9.6,259.2304,5.0,140.29769870967743,13,0.0028527210416666665,141.21389506903353,0.0038558425906370995,1.351636747624076,0.13693061
Regular,FDV34,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.011443222,10.695,73.5038,5.0,140.29769870967743,13,0.0010699599812996727,141.21389506903353,0.0016111541006687785,1.5058078141499474,0.05721611
Regular,FDX46,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.058207114,12.3,59.1562,5.0,140.29769870967743,13,0.00473228569105691,141.21389506903353,0.008195299401619147,1.7317845828933476,0.29103556999999997
Low Fat,NCA53,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.009893817,11.395,50.3034,5.0,140.29769870967743,13,0.0008682594997806055,141.21389506903353,0.0006036354382259767,0.6952246861433767,0.049469084999999996
Regular,FDT24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.18614827,12.35,78.2328,5.0,140.29769870967743,13,0.015072734412955466,141.21389506903353,0.01415277237592397,0.9389651531151003,0.93074135
Regular,FDX27,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.114294512,20.7,94.9436,5.0,140.29769870967743,13,0.005521474009661836,141.21389506903353,0.009145706580312097,1.656388595564942,0.57147256
Low Fat,NCQ38,Others,2018,OUT019,Tier 1,Small,Grocery Store,0.023402893,,108.228,5.0,139.78708787878787,7,,140.29468975069253,0.0004640489166959991,,0.11701446500000001
Low Fat,FDK02,Canned,2018,OUT019,Tier 1,Small,Grocery Store,0.196490902,,120.544,5.0,139.78708787878787,7,,140.29468975069253,0.014962172403848409,,0.98245451
Low Fat,FDI15,Dairy,2018,OUT019,Tier 1,Small,Grocery Store,0.24749009,,263.1884,5.0,139.78708787878787,7,,140.29468975069253,0.019803853265282178,,1.2374504499999999
Low Fat,FDE09,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.037824735,,109.7228,5.0,139.78708787878787,7,,140.29468975069253,0.005467566997536078,,0.189123675
Low Fat,FDS55,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.142107998,,150.3734,5.0,139.78708787878787,7,,140.29468975069253,0.020541716946615045,,0.71053999
Low Fat,FDZ56,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.04506213,,167.5474,5.0,139.78708787878787,7,,140.29468975069253,0.006513732741992256,,0.22531065
Low Fat,NCA05,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0.044000492,,148.2734,5.0,139.78708787878787,7,,140.29468975069253,0.002684530780241699,,0.22000246
Low Fat,NCK29,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0.0,,123.473,5.0,139.78708787878787,7,,140.29468975069253,0.0,,0.0
Low Fat,NCU29,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0.044607722,,145.976,5.0,139.78708787878787,7,,140.29468975069253,0.0027215787211075913,,0.22303861000000003
Low Fat,NCX41,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0.031024168,,210.5244,5.0,139.78708787878787,7,,140.29468975069253,0.0018928273330986742,,0.15512084
Low Fat,NCG07,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.091924311,,189.753,5.0,139.78708787878787,7,,140.29468975069253,0.009814751027807109,,0.45962155499999996
Low Fat,NCI30,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.103188491,,244.346,5.0,139.78708787878787,7,,140.29468975069253,0.011017426588055847,,0.515942455
Low Fat,NCR54,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.158562708,,194.711,5.0,139.78708787878787,7,,140.29468975069253,0.016929727124252024,,0.79281354
Low Fat,NCT06,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.067824456,,167.7842,5.0,139.78708787878787,7,,140.29468975069253,0.007241611517071454,,0.33912228
Low Fat,FDN15,Meat,2018,OUT019,Tier 1,Small,Grocery Store,0.029299175,,140.318,5.0,139.78708787878787,7,,140.29468975069253,0.0014610054411592162,,0.146495875
Low Fat,FDJ45,Seafood,2018,OUT019,Tier 1,Small,Grocery Store,0.128532558,,34.2216,5.0,139.78708787878787,7,,140.29468975069253,0.0009651629369940161,,0.6426627899999999
Regular,FDL13,Breakfast,2018,OUT019,Tier 1,Small,Grocery Store,0.098606543,,232.73,5.0,139.78708787878787,7,,140.29468975069253,0.001272641057139505,,0.493032715
Regular,FDL02,Canned,2018,OUT019,Tier 1,Small,Grocery Store,0.182236555,,107.1622,5.0,139.78708787878787,7,,140.29468975069253,0.013876748116273612,,0.911182775
Regular,FDF56,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.209162936,,179.1976,5.0,139.78708787878787,7,,140.29468975069253,0.03023451098814971,,1.0458146799999999
Regular,FDQ27,Meat,2018,OUT019,Tier 1,Small,Grocery Store,0.077480627,,101.399,5.0,139.78708787878787,7,,140.29468975069253,0.0038635769652704444,,0.387403135
Regular,FDG35,Starchy Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.012327847,,173.8738,5.0,139.78708787878787,7,,140.29468975069253,0.00021407032218702333,,0.061639235
Regular,FDD38,Canned,2018,OUT019,Tier 1,Small,Grocery Store,0.014342659,,103.7674,5.0,139.78708787878787,7,,140.29468975069253,0.0010921489723102194,,0.07171329500000001
Regular,FDE41,Frozen Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.0,,83.7566,5.0,139.78708787878787,7,,140.29468975069253,0.0,,0.0
Low Fat,FDP24,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.083004078,20.6,119.4756,5.0,142.05738688172042,9,0.004029324174757281,141.21389506903353,0.00631076411404435,1.566209081309398,0.41502038999999996
Low Fat,FDH38,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.01043823,6.425,115.8808,5.0,142.05738688172042,9,0.0016246272373540856,141.21389506903353,0.0007948388208377331,0.48924381086471896,0.05219115
Low Fat,FDT49,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.151405587,7.0,107.728,5.0,142.05738688172042,9,0.021629369571428574,141.21389506903353,0.011529065582893348,0.5330282764284876,0.757027935
Low Fat,FDN02,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.073827748,16.5,208.8638,5.0,142.05738688172042,9,0.0044744089696969695,141.21389506903353,0.005621753895576675,1.2564237944385779,0.36913874
Low Fat,DRF27,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.028417272,8.93,154.534,5.0,142.05738688172042,9,0.003182225307950728,141.21389506903353,0.002273915229848645,0.7145676405021706,0.14208636
Low Fat,FDT02,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.024194731,12.6,36.1874,5.0,142.05738688172042,9,0.0019202167460317461,141.21389506903353,0.0019360326812155346,1.0082365364308343,0.120973655
Low Fat,FDF05,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.02687089,17.5,264.491,5.0,142.05738688172042,9,0.0015354794285714287,141.21389506903353,0.002698754175759709,1.7575970902264462,0.13435445000000001
Low Fat,FDI45,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.037581243,13.1,175.5054,5.0,142.05738688172042,9,0.0028687971755725194,141.21389506903353,0.005432370218936994,1.8936055379561187,0.187906215
Low Fat,FDZ20,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.034306962,16.1,252.3356,5.0,142.05738688172042,9,0.002130867204968944,141.21389506903353,0.004959072765927491,2.3272556611521766,0.17153481
Low Fat,NCC42,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.044908404,15.0,140.2838,5.0,142.05738688172042,9,0.0029938936,141.21389506903353,0.002739923745160155,0.9151707145371348,0.22454202
Low Fat,NCQ53,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.018905326,17.6,234.659,5.0,142.05738688172042,9,0.00107416625,141.21389506903353,0.0011534400469318314,1.073800305056905,0.09452663
